imagenet_label,target_class
tabby,domestic-cat
tiger_cat,domestic-cat
Egyptian_cat,domestic-cat
Persian_cat,domestic-cat
Siamese_cat,domestic-cat
lynx,european-wildcat
wildcat,european-wildcat
cougar,jungle-cat
puma,jungle-cat
panthera_onca,jungle-cat
lynx,african-wildcat
tabby,african-wildcat
grey_fox,african-wildcat
leopard,african-wildcat
coyote,african-wildcat
Egyptian_cat,african-wildcat
tyger_cat,african-wildcat
gazelle,african-wildcat
coyote,african-wildcat
sand_cat,sand-cat
tiger,blackfoot-cat
tiger_cat,blackfoot-cat
leopard,blackfoot-cat
caracal,blackfoot-cat
ocelot,blackfoot-cat
snow_leopard,chinese-mountain-cat
hyena,chinese-mountain-cat
hare,chinese-mountain-cat
mongoose,chinese-mountain-cat
